# Rate cards for the machines that currently bill nothing.
# Fill fw / w / d in RUPEES per unit, as written on the rate card. Leave a tier blank if it has none.
# mode is derived from the meter; change it if wrong. Then:
#   npx tsx scripts/set_rental_rate.ts --file=data/rates-to-set.csv
#   npx tsx scripts/set_rental_rate.ts --file=data/rates-to-set.csv --apply
#
# code / reg / category / type / July days / July guarantee at stake:
#   WG-13         —           Workshop Plant / Equipment  Welding Gene                                31 days   26.0 d
#   LT-19         —           Workshop Plant / Equipment  Light Plant                                 31 days   26.0 d
#   PE-3723       —           Other Asset                 Unclassified — set type                     31 days   120.0 h
#   GD-7104       —           Other Asset                 Imported — set type                         31 days   120.0 h
#   64-7131       64-7131     Other Asset                 Car (PM)                                    31 days   3000 km
#   DAG-4969      DAG-4969    Other Asset                 From Galagedara stock book                  25 days   2419 km
#   325-1030      325-1030    Other Asset                 From Galagedara stock book                  24 days   2323 km
#   OTH-KB        —           Other Asset                 Crane (Sub, Lanka Pile)                     18 days   1742 km
#   PE-EWP-CEP03E —           PE - Engine Water Pump      From the CEP-03 E July log book — "Tractor  15 days   12.6 d
#   LH Piyasena Piling—           Other Asset                 From the Karaitivu diesel stock book        13 days   50.3 h
#   PC-1094       PC-1094     Other Asset                 From Galagedara stock book                  10 days   968 km
#   ZB-4606       ZB-4606     Other Asset                 From Galagedara stock book                   5 days   484 km
#   OTH-CEP03E    —           Other Asset                 Site                                         4 days   387 km
code,mode,fw,w,d
WG-13,portable,,,
LT-19,portable,,,
PE-3723,hourly,,,
GD-7104,hourly,,,
64-7131,perkm,,,
DAG-4969,perkm,,,
325-1030,perkm,,,
OTH-KB,perkm,,,
PE-EWP-CEP03E,portable,,,
LH Piyasena Piling,hourly,,,
PC-1094,perkm,,,
ZB-4606,perkm,,,
OTH-CEP03E,perkm,,,
